Year,Month,Day,Sunrise,Sunset,Daylength
2016,12,14,9,15.2,6.25
2016,12,15,9,15.2,6.23
2016,12,16,9,15.2,6.22
2016,12,17,9,15.2,6.21
2016,12,18,9,15.2,6.2
2016,12,19,9.1,15.2,6.19
2016,12,20,9.1,15.3,6.19
2016,12,21,9.1,15.3,6.18
2016,12,22,9.1,15.3,6.19
2016,12,23,9.1,15.3,6.19
2016,12,24,9.1,15.3,6.2
2016,12,25,9.1,15.3,6.21
2016,12,26,9.1,15.3,6.22
2016,12,27,9.1,15.3,6.24
2016,12,28,9.1,15.4,6.25
2016,12,29,9.1,15.4,6.28
2016,12,30,9.1,15.4,6.3
2016,12,31,9.1,15.4,6.33
2017,1,1,9.1,15.4,6.35
2017,1,2,9.1,15.5,6.39
2017,1,3,9.1,15.5,6.42
2017,1,4,9.1,15.5,6.46
2017,1,5,9,15.5,6.5
2017,1,6,9,15.6,6.54
2017,1,7,9,15.6,6.58
2017,1,8,9,15.6,6.63
2017,1,9,9,15.7,6.67
2017,1,10,9,15.7,6.72
2017,1,11,8.9,15.7,6.77
2017,1,12,8.9,15.8,6.83
2017,1,13,8.9,15.8,6.88
2017,1,14,8.9,15.8,6.94
2017,1,15,8.9,15.9,7
2017,1,16,8.8,15.9,7.06
2017,1,17,8.8,15.9,7.12
2017,1,18,8.8,16,7.19
2017,1,19,8.8,16,7.25
2017,1,20,8.7,16,7.32
2017,1,21,8.7,16.1,7.38
2017,1,22,8.7,16.1,7.45
2017,1,23,8.6,16.2,7.52
2017,1,24,8.6,16.2,7.59
2017,1,25,8.6,16.2,7.67
2017,1,26,8.5,16.3,7.74
2017,1,27,8.5,16.3,7.81
2017,1,28,8.5,16.4,7.89
2017,1,29,8.4,16.4,7.97
2017,1,30,8.4,16.4,8.04
2017,1,31,8.4,16.5,8.12
2017,2,1,8.3,16.5,8.2
2017,2,2,8.3,16.6,8.28
2017,2,3,8.3,16.6,8.36
2017,2,4,8.2,16.7,8.44
2017,2,5,8.2,16.7,8.52
2017,2,6,8.1,16.7,8.6
2017,2,7,8.1,16.8,8.68
2017,2,8,8.1,16.8,8.76
2017,2,9,8,16.9,8.85
2017,2,10,8,16.9,8.93
2017,2,11,7.9,16.9,9.01
2017,2,12,7.9,17,9.1
2017,2,13,7.9,17,9.18
2017,2,14,7.8,17.1,9.27
2017,2,15,7.8,17.1,9.35
2017,2,16,7.7,17.2,9.43
2017,2,17,7.7,17.2,9.52
2017,2,18,7.6,17.2,9.61
2017,2,19,7.6,17.3,9.69
2017,2,20,7.5,17.3,9.78
2017,2,21,7.5,17.4,9.86
2017,2,22,7.5,17.4,9.95
2017,2,23,7.4,17.4,10.04
2017,2,24,7.4,17.5,10.12
2017,2,25,7.3,17.5,10.21
2017,2,26,7.3,17.6,10.3
2017,2,27,7.2,17.6,10.38
2017,2,28,7.2,17.6,10.47
2017,3,1,7.1,17.7,10.56
2017,3,2,7.1,17.7,10.64
2017,3,3,7,17.8,10.73
2017,3,4,7,17.8,10.82
2017,3,5,6.9,17.9,10.91
2017,3,6,6.9,17.9,10.99
2017,3,7,6.8,17.9,11.08
2017,3,8,6.8,18,11.17
2017,3,9,6.8,18,11.26
2017,3,10,6.7,18,11.34
2017,3,11,6.7,18.1,11.43
2017,3,12,6.6,18.1,11.52
2017,3,13,6.6,18.2,11.61
2017,3,14,6.5,18.2,11.69
2017,3,15,6.5,18.2,11.78
2017,3,16,6.4,18.3,11.87
2017,3,17,6.4,18.3,11.96
2017,3,18,6.3,18.4,12.04
2017,3,19,6.3,18.4,12.13
2017,3,20,6.2,18.4,12.22
2017,3,21,6.2,18.5,12.31
2017,3,22,6.1,18.5,12.39
2017,3,23,6.1,18.6,12.48
2017,3,24,6,18.6,12.57
2017,3,25,6,18.6,12.66
2017,3,26,6.9,19.7,12.74
2017,3,27,6.9,19.7,12.83
2017,3,28,6.8,19.8,12.92
2017,3,29,6.8,19.8,13.01
2017,3,30,6.7,19.8,13.09
2017,3,31,6.7,19.9,13.18
2017,4,1,6.6,19.9,13.27
2017,4,2,6.6,19.9,13.36
2017,4,3,6.5,20,13.44
2017,4,4,6.5,20,13.53
2017,4,5,6.4,20.1,13.62
2017,4,6,6.4,20.1,13.71
2017,4,7,6.3,20.1,13.79
2017,4,8,6.3,20.2,13.88
2017,4,9,6.3,20.2,13.97
2017,4,10,6.2,20.3,14.05
2017,4,11,6.2,20.3,14.14
2017,4,12,6.1,20.3,14.23
2017,4,13,6.1,20.4,14.31
2017,4,14,6,20.4,14.4
2017,4,15,6,20.5,14.48
2017,4,16,5.9,20.5,14.57
2017,4,17,5.9,20.5,14.66
2017,4,18,5.8,20.6,14.74
2017,4,19,5.8,20.6,14.83
2017,4,20,5.7,20.6,14.91
2017,4,21,5.7,20.7,15
2017,4,22,5.6,20.7,15.08
2017,4,23,5.6,20.8,15.17
2017,4,24,5.6,20.8,15.25
2017,4,25,5.5,20.8,15.34
2017,4,26,5.5,20.9,15.42
2017,4,27,5.4,20.9,15.51
2017,4,28,5.4,21,15.59
2017,4,29,5.3,21,15.67
2017,4,30,5.3,21,15.75
2017,5,1,5.2,21.1,15.84
2017,5,2,5.2,21.1,15.92
2017,5,3,5.2,21.2,16
2017,5,4,5.1,21.2,16.08
2017,5,5,5.1,21.2,16.16
2017,5,6,5,21.3,16.24
2017,5,7,5,21.3,16.32
2017,5,8,5,21.4,16.4
2017,5,9,4.9,21.4,16.48
2017,5,10,4.9,21.4,16.55
2017,5,11,4.8,21.5,16.63
2017,5,12,4.8,21.5,16.71
2017,5,13,4.8,21.5,16.78
2017,5,14,4.7,21.6,16.86
2017,5,15,4.7,21.6,16.93
2017,5,16,4.6,21.7,17
2017,5,17,4.6,21.7,17.07
2017,5,18,4.6,21.7,17.14
2017,5,19,4.5,21.8,17.21
2017,5,20,4.5,21.8,17.28
2017,5,21,4.5,21.8,17.35
2017,5,22,4.4,21.9,17.41
2017,5,23,4.4,21.9,17.48
2017,5,24,4.4,21.9,17.54
2017,5,25,4.4,22,17.6
2017,5,26,4.3,22,17.66
2017,5,27,4.3,22,17.72
2017,5,28,4.3,22.1,17.78
2017,5,29,4.2,22.1,17.84
2017,5,30,4.2,22.1,17.89
2017,5,31,4.2,22.1,17.94
2017,6,1,4.2,22.2,17.99
2017,6,2,4.2,22.2,18.04
2017,6,3,4.1,22.2,18.08
2017,6,4,4.1,22.2,18.13
2017,6,5,4.1,22.3,18.17
2017,6,6,4.1,22.3,18.21
2017,6,7,4.1,22.3,18.24
2017,6,8,4,22.3,18.28
2017,6,9,4,22.3,18.31
2017,6,10,4,22.4,18.34
2017,6,11,4,22.4,18.37
2017,6,12,4,22.4,18.39
2017,6,13,4,22.4,18.42
2017,6,14,4,22.4,18.44
2017,6,15,4,22.4,18.45
2017,6,16,4,22.4,18.47
2017,6,17,4,22.5,18.48
2017,6,18,4,22.5,18.49
2017,6,19,4,22.5,18.49
2017,6,20,4,22.5,18.5
2017,6,21,4,22.5,18.5
2017,6,22,4,22.5,18.49
2017,6,23,4,22.5,18.49
2017,6,24,4,22.5,18.48
2017,6,25,4,22.5,18.47
2017,6,26,4,22.5,18.46
2017,6,27,4,22.5,18.44
2017,6,28,4,22.5,18.42
2017,6,29,4.1,22.5,18.4
2017,6,30,4.1,22.4,18.38
2017,7,1,4.1,22.4,18.35
2017,7,2,4.1,22.4,18.32
2017,7,3,4.1,22.4,18.29
2017,7,4,4.1,22.4,18.26
2017,7,5,4.2,22.4,18.22
2017,7,6,4.2,22.4,18.18
2017,7,7,4.2,22.3,18.14
2017,7,8,4.2,22.3,18.1
2017,7,9,4.2,22.3,18.06
2017,7,10,4.3,22.3,18.01
2017,7,11,4.3,22.3,17.96
2017,7,12,4.3,22.2,17.91
2017,7,13,4.4,22.2,17.86
2017,7,14,4.4,22.2,17.8
2017,7,15,4.4,22.2,17.75
2017,7,16,4.4,22.1,17.69
2017,7,17,4.5,22.1,17.63
2017,7,18,4.5,22.1,17.57
2017,7,19,4.5,22,17.51
2017,7,20,4.6,22,17.44
2017,7,21,4.6,22,17.38
2017,7,22,4.6,21.9,17.31
2017,7,23,4.7,21.9,17.25
2017,7,24,4.7,21.9,17.18
2017,7,25,4.7,21.8,17.11
2017,7,26,4.8,21.8,17.04
2017,7,27,4.8,21.8,16.97
2017,7,28,4.8,21.7,16.89
2017,7,29,4.9,21.7,16.82
2017,7,30,4.9,21.7,16.75
2017,7,31,5,21.6,16.67
2017,8,1,5,21.6,16.6
2017,8,2,5,21.5,16.52
2017,8,3,5.1,21.5,16.44
2017,8,4,5.1,21.5,16.37
2017,8,5,5.1,21.4,16.29
2017,8,6,5.2,21.4,16.21
2017,8,7,5.2,21.3,16.13
2017,8,8,5.3,21.3,16.05
2017,8,9,5.3,21.3,15.97
2017,8,10,5.3,21.2,15.89
2017,8,11,5.4,21.2,15.81
2017,8,12,5.4,21.1,15.73
2017,8,13,5.4,21.1,15.64
2017,8,14,5.5,21,15.56
2017,8,15,5.5,21,15.48
2017,8,16,5.6,21,15.4
2017,8,17,5.6,20.9,15.31
2017,8,18,5.6,20.9,15.23
2017,8,19,5.7,20.8,15.15
2017,8,20,5.7,20.8,15.06
2017,8,21,5.7,20.7,14.98
2017,8,22,5.8,20.7,14.9
2017,8,23,5.8,20.6,14.81
2017,8,24,5.9,20.6,14.73
2017,8,25,5.9,20.5,14.64
2017,8,26,5.9,20.5,14.56
2017,8,27,6,20.4,14.47
2017,8,28,6,20.4,14.39
2017,8,29,6,20.3,14.3
2017,8,30,6.1,20.3,14.22
2017,8,31,6.1,20.3,14.13
2017,9,1,6.2,20.2,14.05
2017,9,2,6.2,20.2,13.96
2017,9,3,6.2,20.1,13.87
2017,9,4,6.3,20.1,13.79
2017,9,5,6.3,20,13.7
2017,9,6,6.3,20,13.62
2017,9,7,6.4,19.9,13.53
2017,9,8,6.4,19.9,13.45
2017,9,9,6.5,19.8,13.36
2017,9,10,6.5,19.8,13.27
2017,9,11,6.5,19.7,13.19
2017,9,12,6.6,19.7,13.1
2017,9,13,6.6,19.6,13.02
2017,9,14,6.6,19.6,12.93
2017,9,15,6.7,19.5,12.84
2017,9,16,6.7,19.5,12.76
2017,9,17,6.8,19.4,12.67
2017,9,18,6.8,19.4,12.59
2017,9,19,6.8,19.3,12.5
2017,9,20,6.9,19.3,12.41
2017,9,21,6.9,19.2,12.33
2017,9,22,6.9,19.2,12.24
2017,9,23,7,19.1,12.15
2017,9,24,7,19.1,12.07
2017,9,25,7.1,19,11.98
2017,9,26,7.1,19,11.9
2017,9,27,7.1,18.9,11.81
2017,9,28,7.2,18.9,11.72
2017,9,29,7.2,18.8,11.64
2017,9,30,7.2,18.8,11.55
