Year,Month,Day,Sunrise,Sunset,Daylength,avgDailyTemperature,avgDaylightTemperature,numberOfDaylightHours,runningTotalAverage,runningTotalAverageDaily
2017,3,2,7.1,17.7,10.64,4.6,5.1,10,7.6,7.4
2017,3,3,7,17.8,10.73,4.5,6.2,10,7.6,7.4
2017,3,4,7,17.8,10.82,4.9,5.2,10,7.6,7.4
2017,3,5,6.9,17.9,10.91,6.5,7.1,10,7.6,7.4
2017,3,6,6.9,17.9,10.99,6.2,6.7,10,7.6,7.4
2017,3,7,6.8,17.9,11.08,6.0,6.5,10,7.6,7.4
2017,3,8,6.8,18,11.17,6.0,6.3,10,7.6,7.4
2017,3,9,6.8,18,11.26,6.3,7.2,10,7.6,7.4
2017,3,10,6.7,18,11.34,6.0,6.8,10,7.6,7.4
2017,3,11,6.7,18.1,11.43,8.2,9.5,10,7.6,7.4
2017,3,12,6.6,18.1,11.52,7.5,8.2,10,7.6,7.4
2017,3,13,6.6,18.2,11.61,7.8,8.5,10,7.6,7.4
2017,3,14,6.5,18.2,11.69,7.6,7.5,10,7.6,7.4
2017,3,15,6.5,18.2,11.78,7.7,7.9,10,7.6,7.4
2017,3,16,6.4,18.3,11.87,6.9,7.9,11,7.6,7.4
2017,3,17,6.4,18.3,11.96,4.2,4.8,11,7.6,7.4
2017,3,18,6.3,18.4,12.04,4.8,5.2,11,7.5,7.4
2017,3,19,6.3,18.4,12.13,6.0,6.6,11,7.5,7.4
2017,3,20,6.2,18.4,12.22,5.2,6.1,11,7.5,7.4
2017,3,21,6.2,18.5,12.31,4.1,4.6,11,7.5,7.4
2017,3,22,6.1,18.5,12.39,4.1,4.6,11,7.5,7.3
2017,3,23,6.1,18.6,12.48,3.9,5.3,12,7.5,7.3
2017,3,24,6,18.6,12.57,7.0,7.5,12,7.5,7.3
2017,3,25,6,18.6,12.66,8.9,10.3,12,7.5,7.4
2017,3,26,6.9,19.7,12.74,8.0,10.0,12,7.5,7.4
2017,3,27,6.9,19.7,12.83,6.4,7.7,12,7.5,7.4
2017,3,28,6.8,19.8,12.92,6.1,6.5,12,7.5,7.4
2017,3,29,6.8,19.8,13.01,5.7,6.6,12,7.5,7.4
2017,3,30,6.7,19.8,13.09,8.6,10.1,12,7.5,7.4
2017,3,31,6.7,19.9,13.18,8.7,9.4,12,7.5,7.4
2017,4,1,6.6,19.9,13.27,8.8,9.6,12,7.5,7.4
2017,4,2,6.6,19.9,13.36,7.5,8.6,12,7.6,7.4
2017,4,3,6.5,20,13.44,9.0,9.7,12,7.6,7.4
2017,4,4,6.5,20,13.53,7.0,7.9,12,7.6,7.4
2017,4,5,6.4,20.1,13.62,7.8,8.3,13,7.6,7.4
2017,4,6,6.4,20.1,13.71,9.2,9.9,13,7.6,7.4
2017,4,7,6.3,20.1,13.79,9.3,10.0,13,7.6,7.5
2017,4,8,6.3,20.2,13.88,9.0,10.4,13,7.6,7.5
2017,4,9,6.3,20.2,13.97,7.8,8.7,13,7.7,7.5
2017,4,10,6.2,20.3,14.05,5.9,6.2,13,7.6,7.5
2017,4,11,6.2,20.3,14.14,8.0,8.9,13,7.7,7.5
2017,4,12,6.1,20.3,14.23,7.3,8.1,13,7.7,7.5
2017,4,13,6.1,20.4,14.31,6.8,7.4,13,7.7,7.5
2017,4,14,6,20.4,14.4,6.1,7.2,13,7.6,7.5
2017,4,15,6,20.5,14.48,6.4,7.5,13,7.6,7.5
2017,4,16,5.9,20.5,14.57,5.2,6.7,13,7.6,7.5
2017,4,17,5.9,20.5,14.66,4.0,5.1,13,7.6,7.5
2017,4,18,5.8,20.6,14.74,5.5,6.9,14,7.6,7.5
2017,4,19,5.8,20.6,14.83,8.6,9.3,14,7.6,7.5
2017,4,20,5.7,20.6,14.91,9.2,9.7,14,7.6,7.5
2017,4,21,5.7,20.7,15,6.7,7.1,14,7.6,7.5
2017,4,22,5.6,20.7,15.08,5.2,5.9,14,7.6,7.5
2017,4,23,5.6,20.8,15.17,6.1,7.0,14,7.6,7.5
2017,4,24,5.6,20.8,15.25,2.7,2.6,14,7.6,7.4
2017,4,25,5.5,20.8,15.34,4.8,5.4,14,7.6,7.4
2017,4,26,5.5,20.9,15.42,5.5,6.1,14,7.5,7.4
2017,4,27,5.4,20.9,15.51,6.9,7.2,15,7.5,7.4
2017,4,28,5.4,21,15.59,6.3,7.1,15,7.5,7.4
2017,4,29,5.3,21,15.67,7.6,8.2,15,7.5,7.4
2017,4,30,5.3,21,15.75,8.2,8.6,15,7.6,7.4
2017,5,1,5.2,21.1,15.84,8.6,9.3,15,7.6,7.4
2017,5,2,5.2,21.1,15.92,8.9,10.1,15,7.6,7.5
2017,5,3,5.2,21.2,16,8.9,10.8,15,7.6,7.5
2017,5,4,5.1,21.2,16.08,8.1,9.1,15,7.6,7.5
2017,5,5,5.1,21.2,16.16,8.1,8.9,15,7.6,7.5
2017,5,6,5,21.3,16.24,8.6,9.8,15,7.7,7.5
2017,5,7,5,21.3,16.32,8.2,8.6,15,7.7,7.5
2017,5,8,5,21.4,16.4,8.0,8.4,15,7.7,7.5
2017,5,9,4.9,21.4,16.48,7.0,7.3,15,7.7,7.5
2017,5,10,4.9,21.4,16.55,7.6,8.1,15,7.7,7.5
2017,5,11,4.8,21.5,16.63,7.6,7.9,15,7.7,7.5
2017,5,12,4.8,21.5,16.71,9.2,10.0,15,7.7,7.5
2017,5,13,4.8,21.5,16.78,9.4,9.6,15,7.7,7.5
2017,5,14,4.7,21.6,16.86,10.2,10.9,16,7.7,7.5
2017,5,15,4.7,21.6,16.93,9.9,10.4,16,7.8,7.6
2017,5,16,4.6,21.7,17,13.0,14.7,16,7.8,7.6
2017,5,17,4.6,21.7,17.07,11.1,12.8,16,7.8,7.6
2017,5,18,4.6,21.7,17.14,10.4,11.4,16,7.9,7.6
2017,5,19,4.5,21.8,17.21,9.7,10.7,16,7.9,7.6
2017,5,20,4.5,21.8,17.28,9.3,9.5,16,7.9,7.6
2017,5,21,4.5,21.8,17.35,10.9,12.0,16,7.9,7.7
2017,5,22,4.4,21.9,17.41,11.3,11.9,17,8.0,7.7
2017,5,23,4.4,21.9,17.48,11.7,12.3,17,8.0,7.7
2017,5,24,4.4,21.9,17.54,12.2,12.6,17,8.0,7.7
2017,5,25,4.4,22,17.6,13.3,14.3,17,8.1,7.8
2017,5,26,4.3,22,17.66,15.3,17.0,17,8.2,7.8
2017,5,27,4.3,22,17.72,13.8,14.6,17,8.2,7.8
2017,5,28,4.3,22.1,17.78,11.1,11.5,17,8.2,7.8
2017,5,29,4.2,22.1,17.84,10.4,10.9,17,8.3,7.8
2017,5,30,4.2,22.1,17.89,10.8,11.4,17,8.3,7.9
2017,5,31,4.2,22.1,17.94,11.5,12.5,17,8.3,7.9
2017,6,1,4.2,22.2,17.99,11.8,12.3,17,8.3,7.9
2017,6,2,4.2,22.2,18.04,12.2,12.9,17,8.4,7.9
2017,6,3,4.1,22.2,18.08,11.2,11.9,17,8.4,7.9
2017,6,4,4.1,22.2,18.13,11.4,12.2,17,8.4,8.0
2017,6,5,4.1,22.3,18.17,11.2,12.0,17,8.4,8.0
2017,6,6,4.1,22.3,18.21,10.4,10.6,17,8.5,8.0
2017,6,7,4.1,22.3,18.24,9.1,9.1,17,8.5,8.0
2017,6,8,4,22.3,18.28,9.6,10.2,17,8.5,8.0
2017,6,9,4,22.3,18.31,10.0,10.1,17,8.5,8.0
2017,6,10,4,22.4,18.34,11.8,12.2,17,8.5,8.0
2017,6,11,4,22.4,18.37,13.5,14.3,17,8.6,8.0
2017,6,12,4,22.4,18.39,12.5,13.1,17,8.6,8.1
2017,6,13,4,22.4,18.42,12.5,13.0,17,8.6,8.1
2017,6,14,4,22.4,18.44,14.2,15.0,17,8.7,8.1
2017,6,15,4,22.4,18.45,13.8,14.4,17,8.7,8.1
2017,6,16,4,22.4,18.47,12.9,13.4,17,8.7,8.2
2017,6,17,4,22.5,18.48,14.8,15.3,17,8.8,8.2
2017,6,18,4,22.5,18.49,13.1,13.4,17,8.8,8.2
2017,6,19,4,22.5,18.49,11.8,12.1,17,8.8,8.2
2017,6,20,4,22.5,18.5,12.0,12.7,17,8.9,8.2
2017,6,21,4,22.5,18.5,13.0,13.9,17,8.9,8.3
2017,6,22,4,22.5,18.49,13.5,14.0,17,8.9,8.3
2017,6,23,4,22.5,18.49,13.1,13.7,17,8.9,8.3
2017,6,24,4,22.5,18.48,11.0,11.3,17,9.0,8.3
2017,6,25,4,22.5,18.47,11.3,11.7,17,9.0,8.3
2017,6,26,4,22.5,18.46,10.5,11.2,17,9.0,8.3
2017,6,27,4,22.5,18.44,10.2,11.2,17,9.0,8.3
2017,6,28,4,22.5,18.42,11.4,11.8,17,9.0,8.4
2017,6,29,4.1,22.5,18.4,11.3,11.5,17,9.0,8.4
2017,6,30,4.1,22.4,18.38,11.6,12.0,17,9.1,8.4
2017,7,1,4.1,22.4,18.35,11.0,11.9,17,9.1,8.4
2017,7,2,4.1,22.4,18.32,12.1,12.6,17,9.1,8.4
2017,7,3,4.1,22.4,18.29,11.4,12.2,17,9.1,8.4
2017,7,4,4.1,22.4,18.26,11.1,12.3,17,9.1,8.4
2017,7,5,4.2,22.4,18.22,12.2,13.3,17,9.2,8.5
2017,7,6,4.2,22.4,18.18,13.0,13.6,17,9.2,8.5
2017,7,7,4.2,22.3,18.14,12.9,13.3,17,9.2,8.5
2017,7,8,4.2,22.3,18.1,12.1,12.7,17,9.2,8.5
2017,7,9,4.2,22.3,18.06,12.4,13.2,17,9.3,8.5
2017,7,10,4.3,22.3,18.01,11.3,12.2,17,9.3,8.5
2017,7,11,4.3,22.3,17.96,11.6,12.4,17,9.3,8.5
2017,7,12,4.3,22.2,17.91,11.8,13.3,17,9.3,8.6
2017,7,13,4.4,22.2,17.86,13.3,14.5,17,9.3,8.6
2017,7,14,4.4,22.2,17.8,13.4,14.1,17,9.4,8.6
2017,7,15,4.4,22.2,17.75,13.1,13.5,17,9.4,8.6
2017,7,16,4.4,22.1,17.69,13.1,13.5,17,9.4,8.6
2017,7,17,4.5,22.1,17.63,12.8,13.3,16,9.4,8.7
2017,7,18,4.5,22.1,17.57,14.5,15.7,16,9.5,8.7
2017,7,19,4.5,22,17.51,13.6,14.0,16,9.5,8.7
2017,7,20,4.6,22,17.44,12.8,13.0,16,9.5,8.7
2017,7,21,4.6,22,17.38,13.2,14.2,16,9.5,8.7
2017,7,22,4.6,21.9,17.31,14.2,15.2,16,9.6,8.8
2017,7,23,4.7,21.9,17.25,14.1,14.8,16,9.6,8.8
2017,7,24,4.7,21.9,17.18,12.3,12.4,16,9.6,8.8
2017,7,25,4.7,21.8,17.11,11.8,12.0,16,9.6,8.8
2017,7,26,4.8,21.8,17.04,12.9,13.4,16,9.6,8.8
2017,7,27,4.8,21.8,16.97,12.9,14.3,16,9.7,8.8
2017,7,28,4.8,21.7,16.89,13.6,14.7,16,9.7,8.8
2017,7,29,4.9,21.7,16.82,13.6,14.5,16,9.7,8.9
2017,7,30,4.9,21.7,16.75,14.3,15.5,16,9.7,8.9
2017,7,31,5,21.6,16.67,14.7,16.1,16,9.8,8.9
2017,8,1,5,21.6,16.6,14.3,15.5,16,9.8,8.9
2017,8,2,5,21.5,16.52,14.1,15.6,15,9.8,9.0
2017,8,3,5.1,21.5,16.44,14.2,14.8,15,9.8,9.0
2017,8,4,5.1,21.5,16.37,13.9,14.5,15,9.9,9.0
2017,8,5,5.1,21.4,16.29,12.8,13.4,15,9.9,9.0
2017,8,6,5.2,21.4,16.21,13.1,14.1,15,9.9,9.0
2017,8,7,5.2,21.3,16.13,13.0,13.4,15,9.9,9.0
2017,8,8,5.3,21.3,16.05,13.4,14.4,15,9.9,9.1
2017,8,9,5.3,21.3,15.97,13.3,13.8,15,9.9,9.1
2017,8,10,5.3,21.2,15.89,14.2,14.6,15,10.0,9.1
2017,8,11,5.4,21.2,15.81,13.8,14.8,15,10.0,9.1
2017,8,12,5.4,21.1,15.73,12.0,13.0,15,10.0,9.1
2017,8,13,5.4,21.1,15.64,11.9,13.1,15,10.0,9.1
2017,8,14,5.5,21,15.56,13.1,13.6,14,10.0,9.1
2017,8,15,5.5,21,15.48,13.9,14.6,14,10.0,9.2
2017,8,16,5.6,21,15.4,13.7,14.7,14,10.1,9.2
2017,8,17,5.6,20.9,15.31,15.0,16.3,14,10.1,9.2
2017,8,18,5.6,20.9,15.23,13.0,14.2,14,10.1,9.2
2017,8,19,5.7,20.8,15.15,13.5,14.0,14,10.1,9.2
2017,8,20,5.7,20.8,15.06,12.5,13.4,14,10.1,9.2
2017,8,21,5.7,20.7,14.98,11.4,13.1,14,10.1,9.3
2017,8,22,5.8,20.7,14.9,12.7,13.4,14,10.2,9.3
2017,8,23,5.8,20.6,14.81,14.0,14.3,14,10.2,9.3
2017,8,24,5.9,20.6,14.73,14.5,15.7,14,10.2,9.3
2017,8,25,5.9,20.5,14.64,12.9,13.0,13,10.2,9.3
2017,8,26,5.9,20.5,14.56,12.6,13.6,13,10.2,9.3
2017,8,27,6,20.4,14.47,13.8,15.1,13,10.2,9.3
2017,8,28,6,20.4,14.39,14.9,16.4,13,10.3,9.4
2017,8,29,6,20.3,14.3,12.7,14.1,13,10.3,9.4
2017,8,30,6.1,20.3,14.22,13.1,14.7,13,10.3,9.4
2017,8,31,6.1,20.3,14.13,11.7,12.7,13,10.3,9.4
2017,9,1,6.2,20.2,14.05,11.5,13.3,13,10.3,9.4
2017,9,2,6.2,20.2,13.96,12.6,13.5,13,10.3,9.4
2017,9,3,6.2,20.1,13.87,13.9,14.7,13,10.3,9.4
2017,9,4,6.3,20.1,13.79,13.5,13.9,13,10.3,9.5
2017,9,5,6.3,20,13.7,13.2,14.9,13,10.4,9.5
2017,9,6,6.3,20,13.62,12.4,13.6,13,10.4,9.5
2017,9,7,6.4,19.9,13.53,11.9,12.5,13,10.4,9.5
2017,9,8,6.4,19.9,13.45,12.1,13.4,13,10.4,9.5
2017,9,9,6.5,19.8,13.36,11.8,13.2,12,10.4,9.5
2017,9,10,6.5,19.8,13.27,11.4,12.0,12,10.4,9.5
2017,9,11,6.5,19.7,13.19,11.9,12.1,12,10.4,9.5
2017,9,12,6.6,19.7,13.1,11.4,12.5,12,10.4,9.5
2017,9,13,6.6,19.6,13.02,10.9,12.2,12,10.4,9.5
2017,9,14,6.6,19.6,12.93,10.8,11.3,12,10.4,9.6
2017,9,15,6.7,19.5,12.84,11.0,11.6,11,10.4,9.6
2017,9,16,6.7,19.5,12.76,11.5,12.0,11,10.4,9.6
2017,9,17,6.8,19.4,12.67,11.5,12.3,11,10.4,9.6
2017,9,18,6.8,19.4,12.59,10.2,11.1,11,10.4,9.6
2017,9,19,6.8,19.3,12.5,10.8,13.3,11,10.4,9.6
2017,9,20,6.9,19.3,12.41,11.8,13.3,11,10.4,9.6
2017,9,21,6.9,19.2,12.33,10.3,11.0,11,10.4,9.6
2017,9,22,6.9,19.2,12.24,10.8,12.3,11,10.5,9.6
2017,9,23,7,19.1,12.15,13.2,14.0,11,10.5,9.6
2017,9,24,7,19.1,12.07,13.5,13.7,11,10.5,9.6
2017,9,25,7.1,19,11.98,13.4,13.6,11,10.5,9.6
2017,9,26,7.1,19,11.9,13.5,13.7,11,10.5,9.7
2017,9,27,7.1,18.9,11.81,13.7,14.0,11,10.5,9.7
2017,9,28,7.2,18.9,11.72,13.7,14.3,11,10.5,9.7
2017,9,29,7.2,18.8,11.64,12.7,13.3,11,10.5,9.7
2017,9,30,7.2,18.8,11.55,10.9,12.7,11,10.5,9.7
